customer_id,period,period_start,period_end,active_users,workflow_runs,api_calls,last_login_date
C001,PREVIOUS,2026-08-01,2026-08-14,78,620,12000,2026-08-14
C001,CURRENT,2026-09-01,2026-09-14,45,310,7100,2026-09-14
C002,PREVIOUS,2026-08-01,2026-08-14,45,410,8200,2026-08-14
C002,CURRENT,2026-09-01,2026-09-14,43,395,7900,2026-09-15
C003,PREVIOUS,2026-08-01,2026-08-14,95,880,21000,2026-08-14
C003,CURRENT,2026-09-01,2026-09-14,40,300,7200,2026-09-10
C004,PREVIOUS,2026-08-01,2026-08-14,38,290,5300,2026-08-13
C004,CURRENT,2026-09-01,2026-09-14,12,70,900,2026-09-01
C005,PREVIOUS,2026-08-01,2026-08-14,60,510,9600,2026-08-14
C005,CURRENT,2026-09-01,2026-09-14,61,525,9800,2026-09-15
C006,PREVIOUS,2026-08-01,2026-08-14,130,1300,30000,2026-08-14
C006,CURRENT,2026-09-01,2026-09-14,120,1250,29500,2026-09-15
C007,PREVIOUS,2026-08-01,2026-08-14,72,700,16000,2026-08-14
C007,CURRENT,2026-09-01,2026-09-14,30,260,6100,2026-09-12
C008,PREVIOUS,2026-08-01,2026-08-14,50,480,9000,2026-08-14
C008,CURRENT,2026-09-01,2026-09-14,18,150,2700,2026-09-09
C009,PREVIOUS,2026-08-01,2026-08-14,180,2400,50000,2026-08-14
C009,CURRENT,2026-09-01,2026-09-14,175,2380,51000,2026-09-15
C010,PREVIOUS,2026-08-01,2026-08-14,92,1000,23000,2026-08-14
C010,CURRENT,2026-09-01,2026-09-14,55,560,12800,2026-09-15
C011,PREVIOUS,2026-08-01,2026-08-14,40,390,8000,2026-08-14
C011,CURRENT,2026-09-01,2026-09-14,39,400,8200,2026-09-14
C012,PREVIOUS,2026-08-01,2026-08-14,110,1400,34000,2026-08-14
C012,CURRENT,2026-09-01,2026-09-14,35,390,7800,2026-08-28
