invoice_id,customer_id,invoice_date,due_date,amount_krw,paid_krw,status,payment_date
INV-001,C001,2026-09-01,2026-09-10,4800000,4800000,PAID,2026-09-08
INV-002,C002,2026-09-01,2026-09-15,3200000,3200000,PAID,2026-09-14
INV-003,C003,2026-09-01,2026-09-15,6500000,6500000,PAID,2026-09-12
INV-004,C004,2026-07-20,2026-08-01,2700000,0,UNPAID,
INV-005,C005,2026-09-01,2026-09-15,5100000,5100000,PAID,2026-09-12
INV-006,C006,2026-09-01,2026-09-15,7800000,7800000,PAID,2026-09-11
INV-007,C007,2026-08-10,2026-08-20,4200000,0,UNPAID,
INV-008,C008,2026-07-31,2026-08-10,3600000,0,UNPAID,
INV-009,C009,2026-09-01,2026-09-15,9500000,9500000,PAID,2026-09-10
INV-010,C010,2026-09-01,2026-09-15,6200000,6200000,PAID,2026-09-13
INV-011,C011,2026-09-01,2026-09-15,2900000,2900000,PAID,2026-09-15
INV-012,C012,2026-07-01,2026-07-15,8300000,4300000,PARTIAL,2026-07-20
