customer_id,plan,mrr_krw,contract_start,contract_end,renewal_type,contracted_seats,status,discount_pct
C001,Enterprise,4800000,2026-01-01,2026-10-20,AUTO,100,ACTIVE,0
C002,Growth,3200000,2026-03-01,2027-02-28,MANUAL,60,ACTIVE,5
C003,Enterprise,6500000,2025-11-06,2026-11-05,MANUAL,120,ACTIVE,8
C004,Growth,2700000,2026-04-01,2026-10-01,MANUAL,50,ACTIVE,0
C005,Enterprise,5100000,2025-10-11,2026-10-10,MANUAL,80,ACTIVE,10
C006,Enterprise,7800000,2026-01-01,2026-12-31,AUTO,150,ACTIVE,12
C007,Enterprise,4200000,2025-10-26,2026-10-25,MANUAL,90,ACTIVE,7
C008,Growth,3600000,2025-11-16,2026-11-15,MANUAL,70,ACTIVE,0
C009,Enterprise,9500000,2026-04-01,2027-03-31,AUTO,200,ACTIVE,15
C010,Enterprise,6200000,2025-10-31,2026-10-30,MANUAL,110,ACTIVE,5
C011,Growth,2900000,2025-12-16,2026-12-15,AUTO,55,ACTIVE,0
C012,Enterprise,8300000,2025-10-13,2026-10-12,MANUAL,140,ACTIVE,3
